"PERMANENT_ID","lake.name","date","year","month","day","Phylum","Class","Order","Family","Genus","Species","biovol.um3.per.cell","cells.per.ml","biovol.um3.per.ml"
131843856,"Big Moose",1994-06-30,1994,6,30,"Bacillariophyta","Bacillariophyceae","Eunotiales","Eunotiaceae","Eunotia","sp.",394,2,788
131843856,"Big Moose",1994-06-30,1994,6,30,"Bacillariophyta","Bacillariophyceae","Tabellariales","Tabellariaceae","Tabellaria","fenestrata",2185,3,6555
131843856,"Big Moose",1994-06-30,1994,6,30,"Chlorophyta","Chlorophyceae","Oedogoniales","Oedogoniaceae","Oocystis","pusilla",163,24,3912
131843856,"Big Moose",1994-06-30,1994,6,30,"Chlorophyta","Chlorophyceae","Sphaeropleales","Schizochlamydaceae","Planktosphaeria","gelatinosa",34,5,170
131843856,"Big Moose",1994-06-30,1994,6,30,"Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Kirchneriella","lunaris",25,3,75
131843856,"Big Moose",1994-06-30,1994,6,30,"Chlorophyta","unknown","unknown","unknown","unknown","sp.5to10microns",319,2,638
131843856,"Big Moose",1994-06-30,1994,6,30,"Chlorophyta","unknown","unknown","unknown","unknown","sp.colonial coccoid",65,27,1755
131843856,"Big Moose",1994-06-30,1994,6,30,"Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Chroococcus","sp.",160,16,2560
131843856,"Big Moose",1994-06-30,1994,6,30,"Cyanobacteria","Cyanophyceae","Synechococcophycidae","Merismopediaceae","Merismopedia","tenuissima",6,806,4836
131843856,"Big Moose",1994-06-30,1994,6,30,"Miozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","sp.",346,3,1038
131843856,"Big Moose",1994-07-25,1994,7,25,"Chlorophyta","Chlorophyceae","Oedogoniales","Oedogoniaceae","Oocystis","pusilla",163,9,1467
131843856,"Big Moose",1994-07-25,1994,7,25,"Cryptophyta","Cryptophyceae","Cryptomonoadales","Cryptomonadaceae","Cryptomonas","erosa",838,5,4190
131843856,"Big Moose",1994-07-25,1994,7,25,"Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Chroococcus","dispersus",117,76,8892
131843856,"Big Moose",1994-07-25,1994,7,25,"Cyanobacteria","Cyanophyceae","Synechococcophycidae","Merismopediaceae","Aphanocapsa","sp.",2,1379,2758
131843856,"Big Moose",1994-07-25,1994,7,25,"Cyanobacteria","Cyanophyceae","Synechococcophycidae","Merismopediaceae","Merismopedia","tenuissima",6,9881,59286
131843856,"Big Moose",1994-08-30,1994,8,30,"Chlorophyta","Chlorophyceae","Oedogoniales","Oedogoniaceae","Oocystis","pusilla",163,46,7498
131843856,"Big Moose",1994-08-30,1994,8,30,"Chlorophyta","unknown","unknown","unknown","unknown","sp.3to5microns",198,99,19602
131843856,"Big Moose",1994-08-30,1994,8,30,"Chlorophyta","unknown","unknown","unknown","unknown","sp.colonial coccoid",65,13,845
131843856,"Big Moose",1994-08-30,1994,8,30,"Cryptophyta","Cryptophyceae","Cryptomonoadales","Cryptomonadaceae","Cryptomonas","erosa",838,13,10894
131843856,"Big Moose",1994-08-30,1994,8,30,"Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Chroococcus","dispersus",117,364,42588
131843856,"Big Moose",1994-08-30,1994,8,30,"Cyanobacteria","Cyanophyceae","Synechococcophycidae","Merismopediaceae","Merismopedia","tenuissima",6,8067,48402
131843856,"Big Moose",1994-08-30,1994,8,30,"Miozoa","Dinophyceae","Peridiniales","Peridiniopsidaceae","Parvodinium","inconspicuum",1010,7,7070
