"PERMANENT_ID","lake.name","date","year","month","day","Group","Taxa","Genus","Species","ug_WWperind","org.l","mgWW.l"
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Alona","unknown",17.057,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Bosmina","longirostris",8.685,29.29171,0.25439850135
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Bosmina","unknown",8.273,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Ceriodaphnia","quadrangula",6.678,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Chydorus","unknown",10.176,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Daphnia","ambigua",14.965,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Daphnia","catawba",14.965,1.63611,0.02448438615
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Daphnia","dubia",26.535,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Daphnia","mendotae",65.754,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Daphnia","parvula",28.038,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Daphnia","pulex",120.902,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Daphnia","pulicaria",82.439,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Anomopoda","Daphnia","retrocurva",13.668,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Ctenopoda","Diaphanosoma","birgei",10.805,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Ctenopoda","Diaphanosoma","brachyurum",10.805,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Ctenopoda","Holopedium","giberum",30.946,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Ctenopoda","Sida","crystallina",544.615,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Gymnomera","Leptodora","kindti",264.98,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Cladoceran","Gymnomera","Polyphemus","pediculus",27.523,0.19352,0.00532625096
131843856,"Big Moose",1994-06-30,1994,6,30,"Copepod","Calanoid","Aglaodiaptomus","leptpus",70.498,0,0
131843856,"Big Moose",1994-06-30,1994,6,30,"Copepod","Calanoid","Epischura","lacustris",38.001,0,0
