permanent_id,lake_name,date,group,genus_species,org_l,year
47723283,Willis,1996-06-17,Cladoceran,Bosmina_longirostris,0,1996
47723283,Willis,1996-06-17,Cladoceran,Daphnia_catawba,0,1996
47723283,Willis,1996-06-17,Cladoceran,Daphnia_pulex,0,1996
47723283,Willis,1996-06-17,Cladoceran,Diaphanosoma_birgei,0,1996
47723283,Willis,1996-06-17,Cladoceran,Diaphanosoma_brachyurum,0.881,1996
47723283,Willis,1996-06-17,Cladoceran,Holopedium_giberum,31.60741,1996
47723283,Willis,1996-06-17,Copepod,Aglaodiaptomus_leptpus,0,1996
47723283,Willis,1996-06-17,Copepod,Cyclops_scutifer,0,1996
47723283,Willis,1996-06-17,Copepod,Epischura_lacustris,0,1996
47723283,Willis,1996-06-17,Copepod,Leptodiaptomus_minutus,19.581,1996
47723283,Willis,1996-06-17,Copepod,Mesocyclops_edax,0,1996
47723283,Willis,1996-06-17,Copepod,Tropocyclops_extensus,3.148,1996
47723283,Willis,1994-06-28,Cladoceran,Bosmina_longirostris,0,1994
47723283,Willis,1994-06-28,Cladoceran,Daphnia_catawba,0.00403,1994
47723283,Willis,1994-06-28,Cladoceran,Daphnia_pulex,0,1994
47723283,Willis,1994-06-28,Cladoceran,Diaphanosoma_birgei,0,1994
47723283,Willis,1994-06-28,Cladoceran,Diaphanosoma_brachyurum,0,1994
47723283,Willis,1994-06-28,Cladoceran,Holopedium_giberum,0.00403,1994
47723283,Willis,1994-06-28,Copepod,Aglaodiaptomus_leptpus,0,1994
47723283,Willis,1994-06-28,Copepod,Cyclops_scutifer,0,1994
47723283,Willis,1994-06-28,Copepod,Epischura_lacustris,0,1994
47723283,Willis,1994-06-28,Copepod,Leptodiaptomus_minutus,0.08872,1994
47723283,Willis,1994-06-28,Copepod,Mesocyclops_edax,0.01613,1994
47723283,Willis,1994-06-28,Copepod,Tropocyclops_extensus,0.55652,1994
47723283,Willis,1999-06-29,Cladoceran,Bosmina_longirostris,0,1999
47723283,Willis,1999-06-29,Cladoceran,Daphnia_catawba,0,1999
47723283,Willis,1999-06-29,Cladoceran,Daphnia_pulex,0,1999
47723283,Willis,1999-06-29,Cladoceran,Diaphanosoma_birgei,0,1999
47723283,Willis,1999-06-29,Cladoceran,Diaphanosoma_brachyurum,0,1999
47723283,Willis,1999-06-29,Cladoceran,Holopedium_giberum,0,1999
47723283,Willis,1999-06-29,Copepod,Aglaodiaptomus_leptpus,0,1999
47723283,Willis,1999-06-29,Copepod,Cyclops_scutifer,0,1999
47723283,Willis,1999-06-29,Copepod,Epischura_lacustris,0,1999
47723283,Willis,1999-06-29,Copepod,Leptodiaptomus_minutus,0.28116,1999
47723283,Willis,1999-06-29,Copepod,Mesocyclops_edax,0,1999
47723283,Willis,1999-06-29,Copepod,Tropocyclops_extensus,0,1999
47723283,Willis,1998-07-13,Cladoceran,Bosmina_longirostris,7.95968,1998
47723283,Willis,1998-07-13,Cladoceran,Daphnia_catawba,0.06351,1998
47723283,Willis,1998-07-13,Cladoceran,Daphnia_pulex,0,1998
47723283,Willis,1998-07-13,Cladoceran,Diaphanosoma_birgei,0,1998
47723283,Willis,1998-07-13,Cladoceran,Diaphanosoma_brachyurum,0,1998
47723283,Willis,1998-07-13,Cladoceran,Holopedium_giberum,3.36593,1998
47723283,Willis,1998-07-13,Copepod,Aglaodiaptomus_leptpus,0,1998
47723283,Willis,1998-07-13,Copepod,Cyclops_scutifer,0,1998
47723283,Willis,1998-07-13,Copepod,Epischura_lacustris,0,1998
47723283,Willis,1998-07-13,Copepod,Leptodiaptomus_minutus,0.10585,1998
47723283,Willis,1998-07-13,Copepod,Mesocyclops_edax,0.35988,1998
47723283,Willis,1998-07-13,Copepod,Tropocyclops_extensus,0,1998
47723283,Willis,1997-07-14,Cladoceran,Bosmina_longirostris,0.07236,1997
47723283,Willis,1997-07-14,Cladoceran,Daphnia_catawba,0,1997
47723283,Willis,1997-07-14,Cladoceran,Daphnia_pulex,0,1997
47723283,Willis,1997-07-14,Cladoceran,Diaphanosoma_birgei,0,1997
47723283,Willis,1997-07-14,Cladoceran,Diaphanosoma_brachyurum,0,1997
47723283,Willis,1997-07-14,Cladoceran,Holopedium_giberum,0.00762,1997
47723283,Willis,1997-07-14,Copepod,Aglaodiaptomus_leptpus,0,1997
47723283,Willis,1997-07-14,Copepod,Cyclops_scutifer,0,1997
47723283,Willis,1997-07-14,Copepod,Epischura_lacustris,0,1997
47723283,Willis,1997-07-14,Copepod,Leptodiaptomus_minutus,0.10663,1997
47723283,Willis,1997-07-14,Copepod,Mesocyclops_edax,0,1997
47723283,Willis,1997-07-14,Copepod,Tropocyclops_extensus,0,1997
47723283,Willis,2003-07-15,Cladoceran,Bosmina_longirostris,0.05102,2003
47723283,Willis,2003-07-15,Cladoceran,Daphnia_catawba,0,2003
47723283,Willis,2003-07-15,Cladoceran,Daphnia_pulex,0,2003
47723283,Willis,2003-07-15,Cladoceran,Diaphanosoma_birgei,0,2003
47723283,Willis,2003-07-15,Cladoceran,Diaphanosoma_brachyurum,0,2003
47723283,Willis,2003-07-15,Cladoceran,Holopedium_giberum,0.35289,2003
47723283,Willis,2003-07-15,Copepod,Aglaodiaptomus_leptpus,0,2003
47723283,Willis,2003-07-15,Copepod,Cyclops_scutifer,0,2003
47723283,Willis,2003-07-15,Copepod,Epischura_lacustris,0,2003
47723283,Willis,2003-07-15,Copepod,Leptodiaptomus_minutus,0.18282,2003
47723283,Willis,2003-07-15,Copepod,Mesocyclops_edax,0,2003
47723283,Willis,2003-07-15,Copepod,Tropocyclops_extensus,0.059520000000000003,2003
47723283,Willis,2001-07-17,Cladoceran,Bosmina_longirostris,5.191,2001
47723283,Willis,2001-07-17,Cladoceran,Daphnia_catawba,0.05,2001
47723283,Willis,2001-07-17,Cladoceran,Daphnia_pulex,0,2001
47723283,Willis,2001-07-17,Cladoceran,Diaphanosoma_birgei,0,2001
47723283,Willis,2001-07-17,Cladoceran,Diaphanosoma_brachyurum,0,2001
47723283,Willis,2001-07-17,Cladoceran,Holopedium_giberum,0.22,2001
47723283,Willis,2001-07-17,Copepod,Aglaodiaptomus_leptpus,0,2001
47723283,Willis,2001-07-17,Copepod,Cyclops_scutifer,0,2001
47723283,Willis,2001-07-17,Copepod,Epischura_lacustris,0,2001
47723283,Willis,2001-07-17,Copepod,Leptodiaptomus_minutus,0.027,2001
47723283,Willis,2001-07-17,Copepod,Mesocyclops_edax,0.306,2001
47723283,Willis,2001-07-17,Copepod,Tropocyclops_extensus,0.386,2001
47723283,Willis,2000-07-18,Cladoceran,Bosmina_longirostris,0.95602,2000
47723283,Willis,2000-07-18,Cladoceran,Daphnia_catawba,0,2000
47723283,Willis,2000-07-18,Cladoceran,Daphnia_pulex,0,2000
47723283,Willis,2000-07-18,Cladoceran,Diaphanosoma_birgei,0,2000
47723283,Willis,2000-07-18,Cladoceran,Diaphanosoma_brachyurum,0,2000
47723283,Willis,2000-07-18,Cladoceran,Holopedium_giberum,1.2747,2000
47723283,Willis,2000-07-18,Copepod,Aglaodiaptomus_leptpus,0,2000
47723283,Willis,2000-07-18,Copepod,Cyclops_scutifer,0,2000
47723283,Willis,2000-07-18,Copepod,Epischura_lacustris,0,2000
47723283,Willis,2000-07-18,Copepod,Leptodiaptomus_minutus,0.63735,2000
47723283,Willis,2000-07-18,Copepod,Mesocyclops_edax,3.58509,2000
47723283,Willis,2000-07-18,Copepod,Tropocyclops_extensus,1.5137,2000
47723283,Willis,2006-07-18,Cladoceran,Bosmina_longirostris,7.5,2006
47723283,Willis,2006-07-18,Cladoceran,Daphnia_catawba,0.2,2006
47723283,Willis,2006-07-18,Cladoceran,Daphnia_pulex,0,2006
47723283,Willis,2006-07-18,Cladoceran,Diaphanosoma_birgei,3.35,2006
47723283,Willis,2006-07-18,Cladoceran,Diaphanosoma_brachyurum,0,2006
47723283,Willis,2006-07-18,Cladoceran,Holopedium_giberum,5.15,2006
47723283,Willis,2006-07-18,Copepod,Aglaodiaptomus_leptpus,0,2006
47723283,Willis,2006-07-18,Copepod,Cyclops_scutifer,0,2006
47723283,Willis,2006-07-18,Copepod,Epischura_lacustris,0,2006
47723283,Willis,2006-07-18,Copepod,Leptodiaptomus_minutus,17.15,2006
47723283,Willis,2006-07-18,Copepod,Mesocyclops_edax,3.05,2006
47723283,Willis,2006-07-18,Copepod,Tropocyclops_extensus,0.75,2006
47723283,Willis,2005-07-19,Cladoceran,Bosmina_longirostris,3.375,2005
47723283,Willis,2005-07-19,Cladoceran,Daphnia_catawba,0,2005
47723283,Willis,2005-07-19,Cladoceran,Daphnia_pulex,0,2005
47723283,Willis,2005-07-19,Cladoceran,Diaphanosoma_birgei,0,2005
47723283,Willis,2005-07-19,Cladoceran,Diaphanosoma_brachyurum,2.675,2005
47723283,Willis,2005-07-19,Cladoceran,Holopedium_giberum,1.625,2005
47723283,Willis,2005-07-19,Copepod,Aglaodiaptomus_leptpus,0,2005
47723283,Willis,2005-07-19,Copepod,Cyclops_scutifer,0,2005
47723283,Willis,2005-07-19,Copepod,Epischura_lacustris,0,2005
47723283,Willis,2005-07-19,Copepod,Leptodiaptomus_minutus,11,2005
47723283,Willis,2005-07-19,Copepod,Mesocyclops_edax,2.6,2005
47723283,Willis,2005-07-19,Copepod,Tropocyclops_extensus,0.825,2005
47723283,Willis,1996-07-22,Cladoceran,Bosmina_longirostris,0,1996
47723283,Willis,1996-07-22,Cladoceran,Daphnia_catawba,0,1996
47723283,Willis,1996-07-22,Cladoceran,Daphnia_pulex,0,1996
47723283,Willis,1996-07-22,Cladoceran,Diaphanosoma_birgei,0,1996
47723283,Willis,1996-07-22,Cladoceran,Diaphanosoma_brachyurum,0.43095,1996
47723283,Willis,1996-07-22,Cladoceran,Holopedium_giberum,1.09173,1996
47723283,Willis,1996-07-22,Copepod,Aglaodiaptomus_leptpus,0,1996
47723283,Willis,1996-07-22,Copepod,Cyclops_scutifer,0,1996
47723283,Willis,1996-07-22,Copepod,Epischura_lacustris,0,1996
47723283,Willis,1996-07-22,Copepod,Leptodiaptomus_minutus,18.24345,1996
47723283,Willis,1996-07-22,Copepod,Mesocyclops_edax,0.259,1996
47723283,Willis,1996-07-22,Copepod,Tropocyclops_extensus,1.839,1996
47723283,Willis,1994-07-27,Cladoceran,Bosmina_longirostris,0,1994
47723283,Willis,1994-07-27,Cladoceran,Daphnia_catawba,0,1994
47723283,Willis,1994-07-27,Cladoceran,Daphnia_pulex,0,1994
47723283,Willis,1994-07-27,Cladoceran,Diaphanosoma_birgei,0,1994
47723283,Willis,1994-07-27,Cladoceran,Diaphanosoma_brachyurum,0,1994
47723283,Willis,1994-07-27,Cladoceran,Holopedium_giberum,3.29218,1994
47723283,Willis,1994-07-27,Copepod,Aglaodiaptomus_leptpus,0,1994
47723283,Willis,1994-07-27,Copepod,Cyclops_scutifer,0,1994
47723283,Willis,1994-07-27,Copepod,Epischura_lacustris,0.204,1994
47723283,Willis,1994-07-27,Copepod,Leptodiaptomus_minutus,0,1994
47723283,Willis,1994-07-27,Copepod,Mesocyclops_edax,33.12757,1994
47723283,Willis,1994-07-27,Copepod,Tropocyclops_extensus,57.33882,1994
47723283,Willis,2004-07-06,Cladoceran,Bosmina_longirostris,48.355,2004
47723283,Willis,2004-07-06,Cladoceran,Daphnia_catawba,0,2004
47723283,Willis,2004-07-06,Cladoceran,Daphnia_pulex,0,2004
47723283,Willis,2004-07-06,Cladoceran,Diaphanosoma_birgei,0,2004
47723283,Willis,2004-07-06,Cladoceran,Diaphanosoma_brachyurum,0.19,2004
47723283,Willis,2004-07-06,Cladoceran,Holopedium_giberum,1.6625,2004
47723283,Willis,2004-07-06,Copepod,Aglaodiaptomus_leptpus,0,2004
47723283,Willis,2004-07-06,Copepod,Cyclops_scutifer,0,2004
47723283,Willis,2004-07-06,Copepod,Epischura_lacustris,0,2004
47723283,Willis,2004-07-06,Copepod,Leptodiaptomus_minutus,3.325,2004
47723283,Willis,2004-07-06,Copepod,Mesocyclops_edax,1.805,2004
47723283,Willis,2004-07-06,Copepod,Tropocyclops_extensus,3.515,2004
47723283,Willis,1998-08-10,Cladoceran,Bosmina_longirostris,3.296,1998
47723283,Willis,1998-08-10,Cladoceran,Daphnia_catawba,0.23333,1998
47723283,Willis,1998-08-10,Cladoceran,Daphnia_pulex,0,1998
